anio,nivel,circuito_id_crudo,circuito_id_canonico
2017,nacional,0475,475
2017,nacional,0476,476
2017,nacional,0477,477
2017,nacional,0480,480
2017,nacional,0481,481
2017,nacional,0482,482
2017,nacional,0483,483
2017,nacional,0484,484
2017,nacional,0485,485
2017,nacional,0486,486
2017,nacional,0487,487
2017,nacional,0488,488
2017,nacional,0493,493
2017,nacional,0495,495
2017,nacional,0496,496
2017,nacional,0496A,496A
2017,nacional,0496B,496B
2017,nacional,0496C,496C
2017,nacional,0496D,496D
2017,nacional,0496E,496E
2017,nacional,0496F,496F
2017,nacional,0497,497
2017,nacional,0497A,497A
2017,nacional,0497B,497B
2017,nacional,0497C,497C
2017,nacional,0497D,497D
2017,nacional,0497E,497E
2017,nacional,0497F,497F
2017,nacional,0498,498
2017,nacional,0501,501
2017,nacional,0502,502
2017,nacional,0503,503
2017,nacional,0503A,503A
2017,nacional,0504,504
2017,nacional,0504A,504A
2017,nacional,0504C,504C
2017,nacional,0505,505
2017,nacional,0505A,505A
2017,nacional,0505B,505B
2017,nacional,0508,508
2017,nacional,0508A,508A
2017,nacional,0508B,508B
2017,nacional,0508C,508C
2017,nacional,0508D,508D
2017,nacional,0508E,508E
2017,nacional,0508F,508F
2017,nacional,0508G,508G
2017,nacional,0509,509
2017,nacional,0509A,509A
2017,nacional,0516,516
2017,nacional,0517,517
2017,nacional,0518,518
2017,nacional,0519,519
2017,nacional,0520,520
2017,nacional,0521,521
2017,provincial,0460,460
2017,provincial,0461,461
2017,provincial,0462,462
2017,provincial,0463,463
2017,provincial,0464,464
2017,provincial,0465,465
2017,provincial,0466,466
2017,provincial,0467,467
2017,provincial,0468,468
2017,provincial,0469,469
2017,provincial,0471,471
2017,provincial,0472,472
2017,provincial,0473,473
2017,provincial,0474,474
2017,provincial,0475,475
2017,provincial,0476,476
2017,provincial,0477,477
2017,provincial,0480,480
2017,provincial,0481,481
2017,provincial,0482,482
2017,provincial,0483,483
2017,provincial,0484,484
2017,provincial,0485,485
2017,provincial,0486,486
2017,provincial,0487,487
2017,provincial,0488,488
2017,provincial,0493,493
2017,provincial,0495,495
2017,provincial,0496,496
2017,provincial,0496A,496A
2017,provincial,0496B,496B
2017,provincial,0496C,496C
2017,provincial,0496D,496D
2017,provincial,0496E,496E
2017,provincial,0496F,496F
2017,provincial,0497,497
2017,provincial,0497A,497A
2017,provincial,0497B,497B
2017,provincial,0497C,497C
2017,provincial,0497D,497D
2017,provincial,0497E,497E
2017,provincial,0497F,497F
2017,provincial,0498,498
2017,provincial,0501,501
2017,provincial,0502,502
2017,provincial,0503,503
2017,provincial,0503A,503A
2017,provincial,0504,504
2017,provincial,0504A,504A
2017,provincial,0504C,504C
2017,provincial,0505,505
2017,provincial,0505A,505A
2017,provincial,0505B,505B
2017,provincial,0508,508
2017,provincial,0508A,508A
2017,provincial,0508B,508B
2017,provincial,0508C,508C
2017,provincial,0508D,508D
2017,provincial,0508E,508E
2017,provincial,0508F,508F
2017,provincial,0508G,508G
2017,provincial,0509,509
2017,provincial,0509A,509A
2017,provincial,0516,516
2017,provincial,0517,517
2017,provincial,0518,518
2017,provincial,0519,519
2017,provincial,0520,520
2017,provincial,0521,521
2019,gobernador,000460,460
2019,gobernador,000461,461
2019,gobernador,000462,462
