id_transicion,nivel,anio_t,anio_t_menos_2,delta_v,gana_oficialismo,share_oficialismo,delta_participacion_pct,delta_voto_exit_ausentismo_pct,delta_voto_exit_blanco_nulo_pct,delta_dispersion_economico_mu,delta_dispersion_progresismo_mu,magnitud_desplazamiento_ideologico,cuadrante_desplazamiento,dispersion_cobertura_share_min,desocupacion_cobertura_parcial,desocupacion_nivel_trim,desocupacion_pendiente_trim,desocupacion_volatilidad_trim,desocupacion_final_trim,emae_cobertura_parcial,emae_nivel_trim,emae_pendiente_trim,emae_volatilidad_trim,emae_final_trim,hacinamiento_medio_cobertura_parcial,hacinamiento_medio_nivel_trim,hacinamiento_medio_pendiente_trim,hacinamiento_medio_volatilidad_trim,hacinamiento_medio_final_trim,icc_cobertura_parcial,icc_nivel_trim,icc_pendiente_trim,icc_volatilidad_trim,icc_final_trim,icg_cobertura_parcial,icg_nivel_trim,icg_pendiente_trim,icg_volatilidad_trim,icg_final_trim,ipc_cobertura_parcial,ipc_nivel_trim,ipc_pendiente_trim,ipc_volatilidad_trim,ipc_final_trim,pct_hogares_ayuda_social_gobierno_cobertura_parcial,pct_hogares_ayuda_social_gobierno_nivel_trim,pct_hogares_ayuda_social_gobierno_pendiente_trim,pct_hogares_ayuda_social_gobierno_volatilidad_trim,pct_hogares_ayuda_social_gobierno_final_trim,pct_hogares_prestamo_bancario_cobertura_parcial,pct_hogares_prestamo_bancario_nivel_trim,pct_hogares_prestamo_bancario_pendiente_trim,pct_hogares_prestamo_bancario_volatilidad_trim,pct_hogares_prestamo_bancario_final_trim,pct_hogares_vendio_pertenencias_cobertura_parcial,pct_hogares_vendio_pertenencias_nivel_trim,pct_hogares_vendio_pertenencias_pendiente_trim,pct_hogares_vendio_pertenencias_volatilidad_trim,pct_hogares_vendio_pertenencias_final_trim,pct_sin_cobertura_salud_cobertura_parcial,pct_sin_cobertura_salud_nivel_trim,pct_sin_cobertura_salud_pendiente_trim,pct_sin_cobertura_salud_volatilidad_trim,pct_sin_cobertura_salud_final_trim,reservas_cobertura_parcial,reservas_nivel_trim,reservas_pendiente_trim,reservas_volatilidad_trim,reservas_final_trim,resultado_fiscal_cobertura_parcial,resultado_fiscal_nivel_trim,resultado_fiscal_pendiente_trim,resultado_fiscal_volatilidad_trim,resultado_fiscal_final_trim,salario_real_cobertura_parcial,salario_real_nivel_trim,salario_real_pendiente_trim,salario_real_volatilidad_trim,salario_real_final_trim,tasa_informalidad_cobertura_parcial,tasa_informalidad_nivel_trim,tasa_informalidad_pendiente_trim,tasa_informalidad_volatilidad_trim,tasa_informalidad_final_trim,tc_oficial_cobertura_parcial,tc_oficial_nivel_trim,tc_oficial_pendiente_trim,tc_oficial_volatilidad_trim,tc_oficial_final_trim
municipal_2021_2025,municipal,2025,2021,-2.3616114843759206,True,43.71304171729445,-6.362657801855434,6.4650416907537185,-0.9831164178020355,0.24643447327175838,-0.22720076349623913,0.33518671893439184,derecha_conservador,93.76544147428108,False,0.06828200853994443,0.00037533680219351234,0.0068360585354631945,0.0708811945470709,False,149.1935130196016,0.060200716389809984,5.980466607301794,156.10906834616512,False,1.25418332026297,0.002777473873950635,0.030054648410215525,1.2674287883198851,False,40.22202722222222,0.5489641535714286,3.6852950236582678,43.53342766666667,False,1.8461706439654033,0.10865485150189626,0.6066847129855759,2.2709648410479226,False,21.441291914665488,-1.0577739657208882,14.791900931470485,5.990439348253352,False,0.1444104291813932,-0.0003803207417947501,0.01361239118118083,0.13622703949308052,False,0.0975760516261576,0.00566919006644032,0.03250920448932998,0.11541848866854271,False,0.07703232090877056,0.00389525131748952,0.022465068889034226,0.10295009655604956,False,0.317206880428379,0.001985583105551759,0.03341113662205029,0.34137474611417773,False,33428.941223723006,-524.5565241771525,6328.187818882264,38733.355555555565,False,-10893.414181742488,3952.9134818937864,21715.570670164834,8946.449428326014,False,16284.327135410887,-155.27479981594954,1353.8073379272664,16538.82708926586,False,0.3611792907270914,0.003537786670097215,0.04241730743013344,0.349740148391369,False,607.6133466666668,97.39692904761905,449.26241942697783,1273.6666666666667
provincial_2001_2005,provincial,2005,2001,-3.0103757052733613,True,28.831878798936383,-0.2871753899719067,0.2871753899719067,-12.725542904457605,-0.9394996787900913,0.6275836044829943,1.1298322119069506,izquierda_progresista,92.4844043100816,True,0.14652305741053578,-0.008065451426117764,0.030456941294437843,0.11221637645329299,True,103.04032720012513,2.2524104110067897,7.465819902482757,110.98649978953738,True,1.1755593365267527,-0.015449386022511807,0.05457786340518769,1.0958431962362902,False,45.424540418858854,1.6365183242133747,9.27734775872856,50.77691044854,False,1.8773919772356749,0.14213001814250853,0.9544357144458718,2.2466046810150146,False,6.814887532480184,-1.3649922332513222,13.79859605562999,2.871485083743097,True,0.00744017310757288,-0.00020752448814500486,0.0024374987306895446,0.0057406397116009,True,0.08230444853860762,0.012002203335433862,0.03756882257840698,0.1316319308706704,True,0.09413160881685773,0.0023176611479440844,0.023332123148256053,0.09862364720549274,True,0.3634334545965865,-0.004298060189779869,0.018903816606477643,0.35160494879515236,True,16420.763605171294,1374.3151416881065,5010.182938518819,24147.240067130926,False,13637.331801235905,2505.6319880119263,14796.421678687035,28081.80155668186,False,6502.382509084071,-118.18407645255536,1491.181581851901,6536.754970836432,True,0.4113554538424359,0.0012671535472127313,0.011535904468072254,0.41075070980225714,False,2.9391666666666665,0.012187254901960796,0.5085473574946731,2.909
provincial_2003_2007,provincial,2007,2003,2.0850131422277585,True,41.19860421436805,5.496618770441955,-5.496618770441952,-5.1579550462333845,-0.4531743333964928,0.8740716380937366,0.9845649826035981,izquierda_progresista,94.7579518007959,False,0.11751193629800855,-0.004834773917336318,0.026355891932568508,0.08066339042231725,True,112.13826520389199,2.340467066715928,12.292301957691237,131.60625376311597,False,1.1332975408226151,-0.01098442252058272,0.0639235246980563,1.059871553304907,False,53.42258135168457,0.18933507706123434,3.429486425207421,49.68864186385582,False,2.4758352504836187,-0.03539003171910935,0.3028027248433037,1.9557547370592752,False,2.272390720728948,0.10636731910877187,1.7529950443252782,4.305509497859761,False,0.012127905182068579,0.0011268934125297399,0.008806839977535574,0.0287702491445931,False,0.09630892960702402,0.004256494910084912,0.03324452285578905,0.1025179735094674,False,0.07865575470044917,-0.0032490758761410657,0.028846527582226195,0.0378371284526844,False,0.33582783138491135,-0.006524627520975004,0.037898804565052645,0.2810961091670885,False,23722.390319817616,1648.2972858050077,9322.064765110767,42470.82849462365,False,22757.106076755077,492.6157741374028,8692.018157312594,29887.267054977725,False,6810.547334943002,145.22495951919333,822.8310687317914,8136.724462796995,False,0.39197066096626554,-0.004039206841712962,0.029509434590042218,0.34158915371273196,False,2.9955,0.015209150326797366,0.09182216757143302,3.1231666666666666
provincial_2005_2009,provincial,2009,2005,-7.599152725845222,False,21.23272607309116,-1.441172784943717,1.4411727849437241,-2.763459479536732,0.5739391685072014,-0.17446715393503331,0.5998707835433631,derecha_conservador,93.81763753881292,False,0.08798238972377198,-0.0019208702708358933,0.010914332188346018,0.08613134958479224,False,125.52173770387708,1.2210204685130284,9.209816452743281,127.08958595999927,False,1.0605625869330029,-0.004982649495567736,0.03030974185761925,1.0579298099891417,False,49.384008291094524,-1.5746677862034595,7.790267541217852,38.89765741666666,False,1.9821509149339465,-0.10751571655273437,0.5150004483694556,1.3466053207715354,False,2.248210066443923,-0.048892418638476924,1.4477093479975078,1.689487075539542,False,0.022518617328579713,0.0018701434868271657,0.010793962255194228,0.03664257111607685,False,0.10507753111539961,-0.00305915753646736,0.017113383220628463,0.0863432051857088,False,0.049248777130726326,-0.003524933417389671,0.020421473824404315,0.03860974715962845,False,0.2959922322028448,-0.0014590255343634886,0.02319701370224048,0.303085097972068,False,38659.55128100967,2054.1062479693783,10109.810420034275,46611.96795954941,False,19875.307898120547,-1207.5365566972819,11304.142124144173,1600.6294186148666,False,8418.627368559108,235.64299840014792,1066.3551059234082,9913.34811919025,False,0.3432586234057407,-0.006007494820073772,0.0337790188036772,0.3217680503135828,False,3.2081555555555554,0.039683333333333334,0.22981841923593907,3.7199999999999998
provincial_2007_2011,provincial,2011,2007,4.4404078491931,True,45.639012063561154,1.3709732475413006,-1.4068540481838205,1.6873175300575198,-0.8654651356334739,0.7833483520787438,1.1673322327861726,izquierda_progresista,94.7579518007959,False,0.07876650871972281,-0.0005765425737450846,0.00557683719826199,0.07149999999999995,False,135.26610263379678,1.248201830315173,10.03974313278959,151.31158391792167,False,1.0813451336559317,0.0078083507248450906,0.052989536967059256,1.0794964258097277,False,46.72308929611482,0.8975410548584464,6.969710567596684,57.29742816666666,False,1.6988146255413692,0.05129374511101664,0.4726106708410427,2.4359795252482095,False,2.7649589692835272,0.07598754253292282,1.0819453535574852,3.0952402275670865,False,0.05103771364001614,0.004834869068142395,0.026269280689929574,0.0706622067052902,False,0.09171898526517899,-0.0009024140032197881,0.011449888416743603,0.0869565458837658,False,0.03222425509070382,-0.0008443291494257746,0.006060607746080056,0.028455337701790602,False,0.28996326131172767,-0.0006220511455623011,0.023882347350137344,0.2536604080295072,False,48507.04347091935,337.85177706625933,2368.3706377954304,50630.02311827957,False,3977.6060205461295,-2606.4748896302517,16332.907769639509,-13127.613728650193,False,10475.2439765859,287.2695408332189,1435.22195881875,13170.015839139318,False,0.2920130836378835,-0.005073509965005014,0.031709380856798114,0.2519820239366029,False,3.7027083333333333,0.07607058823529411,0.3809178753718152,4.164333333333333
provincial_2009_2013,provincial,2013,2009,7.053687285515778,False,28.28641335860694,4.837787228323705,-4.929335827116258,1.2385493413357818,-0.436719141013028,0.25365534273537027,0.5050392470148782,izquierda_progresista,96.44319001014136,False,0.074660867922715,-0.0008269530636222888,0.005660992961810181,0.0686666666666666,False,142.79663425240756,1.24069584515548,9.142375804655947,153.18276632760654,False,1.0967238133784158,-0.0021803825176338657,0.039997547218122126,1.098500634356725,False,48.59853016666666,0.0725363897058821,5.641363183691453,47.35830683333333,False,1.891286039469289,0.02867127273207396,0.4550774667538728,1.7333250641822815,False,3.3160212059331715,-0.03446249256332578,0.4551997731263998,3.5922880584538737,False,0.06407420972160259,-0.0005119298348921928,0.015568364580284115,0.057780078648414404,False,0.08036399363032301,-0.00117279837106249,0.015541457197888678,0.0836816330525543,False,0.031228556467112905,0.00026175180955673096,0.006146563215464766,0.0272358912545623,False,0.2609680145053679,-0.006933253293453895,0.037655459921881886,0.22349989568250486,False,46544.922082316276,-648.3293710906303,4731.204742798087,36898.95579993483,False,-15052.314879525644,-2615.04772490107,18130.96822279772,-41082.59706296714,False,13532.388438296372,533.2365773242783,2703.7919824495225,17588.28438575118,False,0.265788044694199,-0.0027716656100344314,0.02534777624374841,0.2628842089446713,False,4.407240196078431,0.10902696078431372,0.5899695156631101,5.5923333333333325
provincial_2011_2015,provincial,2015,2011,-16.75608466747048,False,28.882927396090675,0.5315328937288655,-0.6053336028156409,-4.930985139095134,1.3032780630786498,-0.9457922910321477,1.6102971053435684,derecha_conservador,100.0,False,0.06983333333333329,-0.0004941176470588229,0.004325634186002221,0.061333333333333295,False,146.7865468241025,0.28967505286069256,6.454763420299313,153.84359233648314,True,1.1272618127641738,0.010973125459589032,0.06443457160201489,1.1362829612811014,False,47.106874993055555,0.18618077205882377,5.66885240606131,55.721223333333334,False,1.8517425432801247,-0.028142775098482765,0.2916330071711133,1.9446577827135725,False,4.0282857264872645,0.0663916528859865,1.992070238068002,4.02303784567577,True,0.06528504973249502,0.0014241234597860298,0.011762312245347295,0.0685401184555158,True,0.05922489417675987,-0.0019890926793870107,0.017362859264652256,0.045751840908877295,True,0.02835257080274102,-0.001985927373540617,0.010193159169025388,0.00935568395389255,True,0.24196875726259892,0.001976407618803995,0.02255541282139727,0.23541122346955795,False,36706.930877863335,-1332.844936722928,7349.534850725879,32772.70376344086,False,-39636.86666534988,-2132.0668941933345,24037.752652653395,-27369.14606146907,False,17530.35016933688,435.1584357746175,2136.4856764330225,21308.81591490698,True,0.2730965999220264,0.0036468731750399592,0.023464500306791137,0.271177104068146,False,6.654520833333333,0.39496911764705883,1.9297988111170783,9.255666666666666
provincial_2013_2017,provincial,2017,2013,20.07326060024977,True,48.35967395885671,-3.976386277635129,3.824581636612841,-4.193567047761764,0.7309081144803253,-0.5079558840983119,0.8900819355560937,derecha_conservador,99.14513021881332,True,0.07642222222222218,0.0014666666666666658,0.01046344101544028,0.08249999999999995,False,146.9981701677883,0.3266336116331739,6.857346293990421,154.1264661933916,True,1.1683281646847443,-0.004054455348785992,0.03730359865624703,1.1864286008803804,False,46.58236794444445,0.14524290816993463,5.8884137103314105,46.67266616666667,False,2.140466630458832,0.08213906966003717,0.45208229810960165,2.543321410814921,False,5.900752506388605,-0.048441357890996864,3.685641069382322,4.6575361907788775,True,0.07323789224500313,0.00044805161617726355,0.011894411807148283,0.0832098952573066,True,0.04262915182782182,-0.0005067157536838601,0.007300734536686605,0.046589647080914745,True,0.017738192022966823,-0.000613227789769605,0.010818453524326255,0.027870441494266103,True,0.2609714211575069,0.0008808577877692933,0.02078357058772016,0.2765046937311219,False,34353.11956881014,1294.4585030750436,7939.547570719285,48649.672298137295,False,-42057.19450663361,2758.3395743101155,20425.859726125942,-32488.479130573724,False,19802.270547057065,240.03861728240625,1411.7068343163214,21297.02969416815,True,0.3147773589798067,0.0051877620946979,0.02962743910491343,0.3551760498531896,False,11.863541666666666,0.757906862745098,3.753902178869146,17.106833333333334
provincial_2015_2019,provincial,2019,2015,16.119735941599426,True,45.0026633376901,-0.03163348624168805,-0.043775255762554366,-2.209215297753886,0.2709520599859073,-0.2278594493754088,0.3540267609662739,derecha_conservador,98.77674190497868,True,0.09011111111111107,0.0009666666666666657,0.007592463542586335,0.09866666666666665,False,146.32418804996655,-0.12446521374760923,6.199264140358554,146.5941730391521,True,1.1529062377843884,-0.0008650883574284752,0.03342687041812976,1.1089106841697438,False,42.56608772222222,-0.8396687751633988,5.934165851957799,41.491968166666666,False,2.2617116272449493,-0.06191897252026727,0.3777998688435602,1.9312153657277422,False,8.66717250922336,0.2530142939007503,4.246054087065904,10.942233037117376,True,0.09164264471640177,0.004039120430239663,0.020943137126087478,0.1082592760325422,True,0.09736576035505771,0.014235838763964694,0.06875517922010212,0.19889750518164862,True,0.043537200232303994,0.008471865748866618,0.04194124544167689,0.11186014942159464,True,0.2721229288874822,0.0020774027984217583,0.016358251874076694,0.28299323743652255,False,48738.63890124742,2484.5389552460088,13270.132975442224,59584.62200716846,False,-26659.37797732521,1493.7550988197545,12449.640682131278,-5208.592694157804,False,20053.29538006663,-126.5056328744459,1087.114930057672,18405.833496836673,True,0.34623345616137546,0.002083393419084055,0.01728604696636146,0.3455932333388617,False,25.549354166666667,2.6533495098039217,14.03957405625322,51.30916666666666
provincial_2017_2021,provincial,2021,2017,-13.821297985553038,False,34.53837597330367,-5.501348783662166,5.642487084890426,0.7811741457307466,0.4435289346621833,-0.2720531623940344,0.5203180172271245,derecha_conservador,99.14513021881332,False,0.09813052221874763,0.00035202969452325506,0.013015627100664286,0.08033483889344839,False,140.04894143908666,-0.7550397694623417,9.256902743046446,142.82386605089994,False,1.1567416709763692,-0.0009440164851167015,0.03607367588633743,1.174374030876157,False,38.99900528125,-0.024788450245097886,3.3911456456199756,38.7807095,False,2.0193155792852244,-0.015828196821259525,0.36298486502365845,1.6262476245562234,False,10.18301891587226,-0.02119942779074552,2.577287478232787,9.394478978521581,False,0.12311965650354995,0.0027781253531652494,0.03206626655452197,0.12912932766372937,False,0.12570653722144967,-0.00490107680828614,0.0552013530157804,0.0504704438523039,False,0.06492493102007192,-0.0003917552360230799,0.032597432400262964,0.03327400385746815,False,0.2868738911397702,0.0016762551362938377,0.010793014583548836,0.29806354403582835,False,50388.28014609073,-1561.3463117639196,9858.601029418829,43145.80568100359,False,-26796.835198057364,-26.429094417770305,17231.027922790407,-20622.920650836593,False,18645.49071534102,-220.16791038955643,1204.4563903688324,17746.037579017466,False,0.3176877850554191,-0.006748964914035866,0.046970728532243926,0.29633033963647726,False,59.708447916666664,5.575866421568627,26.628605812708027,98.26166666666666
provincial_2019_2023,provincial,2023,2019,-2.7180516502813887,True,42.28461168740871,-5.761233179758108,5.7861914904432155,2.3980528069982308,0.36288649020358366,-0.27752382075355886,0.45684360109114924,derecha_conservador,98.77674190497868,False,0.08442158137983997,-0.0041733707921776326,0.02212792559345008,0.05879681602137895,False,142.16354811905447,1.6893360072636838,9.881530620407066,150.74297129178183,False,1.199979242897907,0.008981578909608474,0.054071442867740384,1.2578874954707242,False,38.99048858333333,-0.05475444803921531,2.3886798668733222,42.7038,False,1.6837739124894142,-0.09983218201235228,0.5205975307726799,1.1575318376223247,False,15.379114827386918,1.4400727617821665,8.062649548562572,29.36674247118761,False,0.14042314772044084,0.0006677233465685577,0.028809126504627747,0.14444729226637026,False,0.08712294761302007,-0.004998329519182617,0.038738382038715505,0.07346115612677684,False,0.05903068650939252,-0.0006363159924818826,0.019320981229303258,0.05696225278542085,False,0.3023652499787075,0.0018074175877933747,0.01992832072190184,0.3179991566961763,False,39551.72903477961,-788.295512036016,4923.929819822854,28247.065053763443,False,-30472.91537568718,1128.2049422998289,15181.754118285175,-25614.842645667282,False,17615.021839186695,-73.68779201948006,490.1455751173192,17156.223314606872,False,0.3124955735712313,0.006445327706466266,0.04738516409954487,0.36153451800893277,False,132.68435625,14.641129656862747,79.89629528287531,303.56668333333334
provincial_2021_2025,provincial,2025,2021,9.61804180075108,True,44.15641777405475,-6.37786332990963,6.480078268496207,-0.8135001690058021,0.2518418346900324,-0.23231437982597503,0.3426284879778227,derecha_conservador,94.10958382515324,False,0.06828200853994443,0.00037533680219351234,0.0068360585354631945,0.0708811945470709,False,149.1935130196016,0.060200716389809984,5.980466607301794,156.10906834616512,False,1.25418332026297,0.002777473873950635,0.030054648410215525,1.2674287883198851,False,40.22202722222222,0.5489641535714286,3.6852950236582678,43.53342766666667,False,1.8461706439654033,0.10865485150189626,0.6066847129855759,2.2709648410479226,False,21.441291914665488,-1.0577739657208882,14.791900931470485,5.990439348253352,False,0.1444104291813932,-0.0003803207417947501,0.01361239118118083,0.13622703949308052,False,0.0975760516261576,0.00566919006644032,0.03250920448932998,0.11541848866854271,False,0.07703232090877056,0.00389525131748952,0.022465068889034226,0.10295009655604956,False,0.317206880428379,0.001985583105551759,0.03341113662205029,0.34137474611417773,False,33428.941223723006,-524.5565241771525,6328.187818882264,38733.355555555565,False,-10893.414181742488,3952.9134818937864,21715.570670164834,8946.449428326014,False,16284.327135410887,-155.27479981594954,1353.8073379272664,16538.82708926586,False,0.3611792907270914,0.003537786670097215,0.04241730743013344,0.349740148391369,False,607.6133466666668,97.39692904761905,449.26241942697783,1273.6666666666667
nacional_2001_2005,nacional,2005,2001,16.74314213011766,True,36.08641204567367,1.2402405937343133,-1.2402405937343097,-5.039117094827262,-0.8794265312019547,0.5685083587519515,1.04718325891543,izquierda_progresista,92.35044256791129,True,0.14652305741053578,-0.008065451426117764,0.030456941294437843,0.11221637645329299,True,103.04032720012513,2.2524104110067897,7.465819902482757,110.98649978953738,True,1.1755593365267527,-0.015449386022511807,0.05457786340518769,1.0958431962362902,False,45.424540418858854,1.6365183242133747,9.27734775872856,50.77691044854,False,1.8773919772356749,0.14213001814250853,0.9544357144458718,2.2466046810150146,False,6.814887532480184,-1.3649922332513222,13.79859605562999,2.871485083743097,True,0.00744017310757288,-0.00020752448814500486,0.0024374987306895446,0.0057406397116009,True,0.08230444853860762,0.012002203335433862,0.03756882257840698,0.1316319308706704,True,0.09413160881685773,0.0023176611479440844,0.023332123148256053,0.09862364720549274,True,0.3634334545965865,-0.004298060189779869,0.018903816606477643,0.35160494879515236,True,16420.763605171294,1374.3151416881065,5010.182938518819,24147.240067130926,False,13637.331801235905,2505.6319880119263,14796.421678687035,28081.80155668186,False,6502.382509084071,-118.18407645255536,1491.181581851901,6536.754970836432,True,0.4113554538424359,0.0012671535472127313,0.011535904468072254,0.41075070980225714,False,2.9391666666666665,0.012187254901960796,0.5085473574946731,2.909
nacional_2003_2007,nacional,2007,2003,-0.21152478091816107,False,34.01514891439022,5.37559932781609,-5.375599327816097,-10.360123806561663,-0.4188356635308369,0.7102066733961866,0.8245100557190277,izquierda_progresista,88.65619399051134,False,0.11751193629800855,-0.004834773917336318,0.026355891932568508,0.08066339042231725,True,112.13826520389199,2.340467066715928,12.292301957691237,131.60625376311597,False,1.1332975408226151,-0.01098442252058272,0.0639235246980563,1.059871553304907,False,53.42258135168457,0.18933507706123434,3.429486425207421,49.68864186385582,False,2.4758352504836187,-0.03539003171910935,0.3028027248433037,1.9557547370592752,False,2.272390720728948,0.10636731910877187,1.7529950443252782,4.305509497859761,False,0.012127905182068579,0.0011268934125297399,0.008806839977535574,0.0287702491445931,False,0.09630892960702402,0.004256494910084912,0.03324452285578905,0.1025179735094674,False,0.07865575470044917,-0.0032490758761410657,0.028846527582226195,0.0378371284526844,False,0.33582783138491135,-0.006524627520975004,0.037898804565052645,0.2810961091670885,False,23722.390319817616,1648.2972858050077,9322.064765110767,42470.82849462365,False,22757.106076755077,492.6157741374028,8692.018157312594,29887.267054977725,False,6810.547334943002,145.22495951919333,822.8310687317914,8136.724462796995,False,0.39197066096626554,-0.004039206841712962,0.029509434590042218,0.34158915371273196,False,2.9955,0.015209150326797366,0.09182216757143302,3.1231666666666666
nacional_2005_2009,nacional,2009,2005,-14.747715071834431,False,21.338696973839237,-0.8851422819785881,0.8851422819785881,-4.893288217897393,0.4885369189320867,-0.040634899017780834,0.49022394492501226,derecha_conservador,93.99932767645724,False,0.08798238972377198,-0.0019208702708358933,0.010914332188346018,0.08613134958479224,False,125.52173770387708,1.2210204685130284,9.209816452743281,127.08958595999927,False,1.0605625869330029,-0.004982649495567736,0.03030974185761925,1.0579298099891417,False,49.384008291094524,-1.5746677862034595,7.790267541217852,38.89765741666666,False,1.9821509149339465,-0.10751571655273437,0.5150004483694556,1.3466053207715354,False,2.248210066443923,-0.048892418638476924,1.4477093479975078,1.689487075539542,False,0.022518617328579713,0.0018701434868271657,0.010793962255194228,0.03664257111607685,False,0.10507753111539961,-0.00305915753646736,0.017113383220628463,0.0863432051857088,False,0.049248777130726326,-0.003524933417389671,0.020421473824404315,0.03860974715962845,False,0.2959922322028448,-0.0014590255343634886,0.02319701370224048,0.303085097972068,False,38659.55128100967,2054.1062479693783,10109.810420034275,46611.96795954941,False,19875.307898120547,-1207.5365566972819,11304.142124144173,1600.6294186148666,False,8418.627368559108,235.64299840014792,1066.3551059234082,9913.34811919025,False,0.3432586234057407,-0.006007494820073772,0.0337790188036772,0.3217680503135828,False,3.2081555555555554,0.039683333333333334,0.22981841923593907,3.7199999999999998
nacional_2007_2011,nacional,2011,2007,9.279627268113629,True,43.294776182503846,2.1274369570970606,-2.1667090844177324,-3.2182045660199483,-0.7012032486518429,0.6121108467653978,0.9307876689383839,izquierda_progresista,95.56081256105288,False,0.07876650871972281,-0.0005765425737450846,0.00557683719826199,0.07149999999999995,False,135.26610263379678,1.248201830315173,10.03974313278959,151.31158391792167,False,1.0813451336559317,0.0078083507248450906,0.052989536967059256,1.0794964258097277,False,46.72308929611482,0.8975410548584464,6.969710567596684,57.29742816666666,False,1.6988146255413692,0.05129374511101664,0.4726106708410427,2.4359795252482095,False,2.7649589692835272,0.07598754253292282,1.0819453535574852,3.0952402275670865,False,0.05103771364001614,0.004834869068142395,0.026269280689929574,0.0706622067052902,False,0.09171898526517899,-0.0009024140032197881,0.011449888416743603,0.0869565458837658,False,0.03222425509070382,-0.0008443291494257746,0.006060607746080056,0.028455337701790602,False,0.28996326131172767,-0.0006220511455623011,0.023882347350137344,0.2536604080295072,False,48507.04347091935,337.85177706625933,2368.3706377954304,50630.02311827957,False,3977.6060205461295,-2606.4748896302517,16332.907769639509,-13127.613728650193,False,10475.2439765859,287.2695408332189,1435.22195881875,13170.015839139318,False,0.2920130836378835,-0.005073509965005014,0.031709380856798114,0.2519820239366029,False,3.7027083333333333,0.07607058823529411,0.3809178753718152,4.164333333333333
nacional_2009_2013,nacional,2013,2009,5.776420917977681,False,27.11511789181692,4.564201728126804,-4.612541689894286,-3.7284389014709642,-0.41658352834980866,0.12726624670951103,0.4355898686194411,izquierda_progresista,94.7750069974679,False,0.074660867922715,-0.0008269530636222888,0.005660992961810181,0.0686666666666666,False,142.79663425240756,1.24069584515548,9.142375804655947,153.18276632760654,False,1.0967238133784158,-0.0021803825176338657,0.039997547218122126,1.098500634356725,False,48.59853016666666,0.0725363897058821,5.641363183691453,47.35830683333333,False,1.891286039469289,0.02867127273207396,0.4550774667538728,1.7333250641822815,False,3.3160212059331715,-0.03446249256332578,0.4551997731263998,3.5922880584538737,False,0.06407420972160259,-0.0005119298348921928,0.015568364580284115,0.057780078648414404,False,0.08036399363032301,-0.00117279837106249,0.015541457197888678,0.0836816330525543,False,0.031228556467112905,0.00026175180955673096,0.006146563215464766,0.0272358912545623,False,0.2609680145053679,-0.006933253293453895,0.037655459921881886,0.22349989568250486,False,46544.922082316276,-648.3293710906303,4731.204742798087,36898.95579993483,False,-15052.314879525644,-2615.04772490107,18130.96822279772,-41082.59706296714,False,13532.388438296372,533.2365773242783,2703.7919824495225,17588.28438575118,False,0.265788044694199,-0.0027716656100344314,0.02534777624374841,0.2628842089446713,False,4.407240196078431,0.10902696078431372,0.5899695156631101,5.5923333333333325
nacional_2011_2015,nacional,2015,2011,-13.404009043682272,False,29.890767138821573,-4.03038021487383,3.9601589654149976,-1.1780534396823263,1.1017635728705126,-0.7444470013327406,1.3296933136245015,derecha_conservador,99.09282033527516,False,0.06983333333333329,-0.0004941176470588229,0.004325634186002221,0.061333333333333295,False,146.7865468241025,0.28967505286069256,6.454763420299313,153.84359233648314,True,1.1272618127641738,0.010973125459589032,0.06443457160201489,1.1362829612811014,False,47.106874993055555,0.18618077205882377,5.66885240606131,55.721223333333334,False,1.8517425432801247,-0.028142775098482765,0.2916330071711133,1.9446577827135725,False,4.0282857264872645,0.0663916528859865,1.992070238068002,4.02303784567577,True,0.06528504973249502,0.0014241234597860298,0.011762312245347295,0.0685401184555158,True,0.05922489417675987,-0.0019890926793870107,0.017362859264652256,0.045751840908877295,True,0.02835257080274102,-0.001985927373540617,0.010193159169025388,0.00935568395389255,True,0.24196875726259892,0.001976407618803995,0.02255541282139727,0.23541122346955795,False,36706.930877863335,-1332.844936722928,7349.534850725879,32772.70376344086,False,-39636.86666534988,-2132.0668941933345,24037.752652653395,-27369.14606146907,False,17530.35016933688,435.1584357746175,2136.4856764330225,21308.81591490698,True,0.2730965999220264,0.0036468731750399592,0.023464500306791137,0.271177104068146,False,6.654520833333333,0.39496911764705883,1.9297988111170783,9.255666666666666
