v2paenname,v2paenname_espaniol,v2paorname,v2pashname,year,historical_date,v2pavote,v2pariglef,v2pariglef_codelow,v2pariglef_codehigh,v2pariglef_osp,v2pariglef_osp_codelow,v2pariglef_osp_codehigh,v2pawelf,v2pawelf_codelow,v2pawelf_codehigh,v2pawelf_osp,v2pawelf_osp_codelow,v2pawelf_osp_codehigh,v2pawomlab,v2pawomlab_codelow,v2pawomlab_codehigh,v2pawomlab_osp,v2pawomlab_osp_codelow,v2pawomlab_osp_codehigh,v2palgbt,v2palgbt_codelow,v2palgbt_codehigh,v2palgbt_osp,v2palgbt_osp_codelow,v2palgbt_osp_codehigh,v2paimmig,v2paimmig_codelow,v2paimmig_codehigh,v2paimmig_osp,v2paimmig_osp_codelow,v2paimmig_osp_codehigh,v2parelig,v2parelig_codelow,v2parelig_codehigh,v2parelig_osp,v2parelig_osp_codelow,v2parelig_osp_codehigh,v2paanteli,v2paanteli_codelow,v2paanteli_codehigh,v2paanteli_osp,v2paanteli_osp_codelow,v2paanteli_osp_codehigh,v2papeople,v2papeople_codelow,v2papeople_codehigh,v2papeople_osp,v2papeople_osp_codelow,v2papeople_osp_codehigh,v2paclient,v2paclient_codelow,v2paclient_codehigh,v2paclient_osp,v2paclient_osp_codelow,v2paclient_osp_codehigh,v2xpa_popul,v2xpa_popul_codelow,v2xpa_popul_codehigh
"Aliance for Work, Justice, and Education","Alianza para el Trabajo, la Justicia y la Educación",,ALIANZA,2001.0,2001-10-14,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewal Front,Frente Renovador,Alternative translation: Front for Reform,RF,2017.0,2017-10-22,,0.369,0.066,0.662,3.286,3.0,3.546,-0.208,-0.655,0.264,2.767,2.325,3.221,0.398,-0.169,0.769,2.802,2.539,2.993,0.595,0.208,1.099,2.163,1.966,2.362,-0.993,-1.445,-0.605,1.697,1.548,1.912,0.491,0.169,0.865,3.35,3.18,3.573,-0.091,-0.499,0.297,1.467,1.11,1.793,-0.054,-0.522,0.43,2.16,1.78,2.593,0.085,-0.229,0.452,1.773,1.485,2.067,0.43,0.363,0.499
Republican Proposal,Propuesta Republicana,,PRO,2017.0,2017-10-22,,1.418,1.088,1.739,4.188,3.942,4.448,-1.386,-1.79,-0.859,1.613,1.186,2.035,0.15,-0.35,0.632,2.682,2.417,2.894,0.692,0.259,1.089,2.208,2.015,2.388,-1.656,-2.065,-1.184,1.372,1.187,1.654,0.593,0.248,0.954,3.407,3.253,3.626,-1.128,-1.539,-0.657,0.669,0.354,0.914,-2.252,-2.827,-1.751,0.601,0.305,0.848,-0.237,-0.561,0.084,1.498,1.22,1.752,0.145,0.09,0.195
Civic Coalition ARI,Coalición Cívica ARI,,CC,2019.0,2019-10-27,,0.452,0.181,0.794,3.363,3.143,3.697,0.087,-0.354,0.56,3.054,2.702,3.576,0.188,-0.342,0.653,2.698,2.431,2.914,1.77,1.37,2.212,2.764,2.528,3.003,-0.25,-0.641,0.177,1.988,1.854,2.152,-0.555,-0.878,-0.209,2.649,2.405,2.912,0.121,-0.228,0.573,1.655,1.254,1.963,-0.693,-1.169,-0.228,1.63,1.24,1.983,-2.566,-3.119,-2.028,0.14,0.007,0.222,0.403,0.331,0.466
Federal Consensus,Consenso Federal,,CF,2019.0,2019-10-27,5.9,0.073,-0.224,0.388,3.007,2.764,3.318,-0.07,-0.539,0.362,2.899,2.457,3.331,-0.023,-0.439,0.488,2.596,2.407,2.853,0.629,0.185,0.984,2.177,1.995,2.352,-0.313,-0.757,0.08,1.965,1.82,2.128,1.066,0.675,1.509,3.64,3.478,3.817,-0.241,-0.66,0.124,1.343,0.995,1.648,-1.039,-1.495,-0.509,1.364,1.003,1.729,-0.905,-1.203,-0.507,0.969,0.672,1.183,0.329,0.266,0.392
Frente Justicialista-Justicialist [Peronist] Party,Frente Justicialista - Partido Justicialista (Peronista),,FP-PJ,2019.0,2019-10-27,,-0.465,-0.747,-0.125,2.522,2.254,2.808,-0.337,-0.82,0.058,2.641,2.164,3.025,1.309,0.83,1.757,3.239,3.015,3.454,1.445,1.044,1.825,2.586,2.345,2.77,0.94,0.569,1.418,2.459,2.255,2.65,0.581,0.28,0.963,3.403,3.223,3.591,1.232,0.793,1.613,2.649,2.272,2.979,0.388,-0.063,0.841,2.545,2.177,2.932,0.532,0.197,0.894,2.156,1.873,2.459,0.642,0.574,0.711
Let’s change,Cambiemos,,C,2019.0,2019-10-27,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical Civic Union,Unión Cívica Radical,,UCR,2019.0,2019-10-27,,0.587,0.286,0.898,3.481,3.212,3.761,-0.525,-0.956,-0.012,2.451,2.017,2.949,0.594,0.119,1.034,2.898,2.651,3.093,1.584,1.17,1.969,2.659,2.431,2.878,-0.181,-0.568,0.225,2.014,1.87,2.158,1.706,1.172,2.216,3.852,3.784,3.995,-0.958,-1.383,-0.501,0.778,0.452,1.066,-1.182,-1.698,-0.746,1.264,0.899,1.573,-0.364,-0.676,-0.025,1.397,1.112,1.653,0.233,0.167,0.295
Renewal Front,Frente Renovador,Alternative translation: Front for Reform,RF,2019.0,2019-10-27,,0.194,-0.136,0.455,3.121,2.837,3.383,0.021,-0.475,0.415,2.986,2.564,3.425,0.373,-0.079,0.856,2.79,2.573,3.024,0.929,0.514,1.31,2.316,2.135,2.517,-0.779,-1.248,-0.433,1.79,1.621,1.95,0.499,0.158,0.855,3.354,3.174,3.566,0.247,-0.155,0.633,1.767,1.391,2.089,0.398,-0.097,0.839,2.548,2.158,2.939,0.085,-0.229,0.452,1.773,1.485,2.067,0.516,0.437,0.581
Republican Proposal,Propuesta Republicana,,PRO,2019.0,2019-10-27,,1.401,1.09,1.713,4.182,3.944,4.433,-1.41,-1.822,-0.916,1.598,1.185,2.023,0.15,-0.35,0.632,2.682,2.417,2.894,0.695,0.292,1.143,2.208,1.994,2.384,-2.004,-2.403,-1.535,1.179,0.986,1.473,0.593,0.248,0.954,3.407,3.253,3.626,-1.005,-1.452,-0.571,0.754,0.386,0.976,-1.847,-2.291,-1.294,0.823,0.52,1.111,-0.237,-0.561,0.084,1.498,1.22,1.752,0.186,0.133,0.241
alliance: Frente de Todos,alianza: Frente de Todos,,Frente de Todos,2019.0,2019-10-27,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
